                     City Of Los Angeles
                     Department Of Transportation
                     MANUAL TRAFFIC COUNT SUMMARY
STREET:
North/South          Echo Park Av.

East/West            Laguna Av.

Day:          Saturday                  Date:       November 23, 2013 Weather:                  SUNNY

Hours:        9:00AM - 5:00PM

School Day:          YES                District:         Central             I/S CODE Miovision


                      N/B                           S/B                       E/B                        W/B
DUAL-
WHEELED                  21                          14                            0                       3
BIKES                    28                          44                            0                       0
BUSES                    27                          30                            0                       0


                      N/B TIME                      S/B TIME                  E/B TIME                   W/B TIME

Period-1 PK 15 MIN       83    11.00                 94 11.00                      0   9.00               22    11.45

Period-2 PK 15 MIN     102     14.00                109 13.45                      0 11.30                18    13.00

Period-1 PK HOUR       600     10.45                679 10.45                      0   9.00               86    10.00

Period-2 PK HOUR       649     12.45                763 13.00                      0 11.30                97    12.00



NORTHBOUND Approach                                       SOUTHBOUND Approach                                  TOTAL    XING S/L     XING N/L

Hours          Lt Th           Rt Total                   Hours         Lt  Th         Rt       Total           N-S        Ped Sch     Ped   Sch
9:00-10:00       0 209           17 226                   9:00-10:00     16 259             0      275           501         5   0      21     0
10:00-11:00      0 216           16 232                   10:00-11:00    19 298             0      317           549         5   0      31     0
11:00-12:00      0 287           22 309                   11:00-12:00    15 316             0      331           640         4   0      35     0
12:00-1:00       0 265           18 283                   12:00-1:00     19 322             0      341           624         5   0      33     0
1:00-2:00        0 296           21 317                   1:00-2:00      12 343             0      355           672         0   0      23     0
2:00-3:00        0 266           21 287                   2:00-3:00      22 326             0      348           635         2   0      25     0
3:00-4:00        0 328           26 354                   3:00-4:00      19 348             0      367           721         3   0      41     0
4:00-5:00        0 276           18 294                   4:00-5:00      17 371             0      388           682         0   0      42     0
TOTAL            0 2143         141 2284                  TOTAL         139 2539            0     2678          4962        24   0     251     0



EASTBOUND Approach                                        WESTBOUND Approach                                   TOTAL    XING W/L     XING E/L

Hours          Lt     Th       Rt       Total             Hours         Lt    Th       Rt Total                E-W         Ped Sch     Ped   Sch
9:00-10:00       0         0        0        0            9:00-10:00     19        0    20     39                 39         0   0      15     0
10:00-11:00      0         0        0        0            10:00-11:00    11        0    23     34                 34         0   0      13     0
11:00-12:00      0         0        0        0            11:00-12:00    19        0    33     52                 52         0   0      17     0
12:00-1:00       0         0        0        0            12:00-1:00     12        0    25     37                 37         0   0      21     0
1:00-2:00        0         0        0        0            1:00-2:00      16        0    30     46                 46         0   0      14     0
2:00-3:00        0         0        0        0            2:00-3:00      18        0    30     48                 48         0   0      14     0
3:00-4:00        0         0        0        0            3:00-4:00      21        0    22     43                 43         0   0      16     0
4:00-5:00        0         0        0        0            4:00-5:00      19        0    23     42                 42         0   0      13     0
TOTAL            0         0        0        0            TOTAL         133        0   205   338                 338         0   0     123     0

              (Rev Oct 06)

