Appendix C. Traffic Count Data Sheets




                                   Appendix C - 1
Appendix C - 2
AC Transit East Bay BRT - Traffic Count Sheet Listing

Intersection                                            Page
Number          Intersection Name                       Number
1 and 1001      University Avenue & Shattuck Avenue     6
2               Bancroft Way & Shattuck Avenue          12
3               Bancroft Way & Oxford Street            15
4               Bancroft Way & Ellsworth St.            18
5               Bancroft Way & Dana St.                 21
6               Bancroft Way & Telegraph Ave            23
7               Bancroft Wy. & College Ave.             26
8               Durant Avenue & Shattuck Avenue         28
9               Durant Avenue & Fulton Street           30
10              Durant Ave. & Telegraph Ave             33
11              Haste St. & Telegraph Ave               36
12              Dwight Way & Shattuck Avenue            38
13              Dwight Way & Telegraph Ave              40
14              Dwight Wy. & College Ave.               43
15              Dwight Wy. & Piedmont Ave.              45
16              Blake St. & Telegraph Ave               47
17              Derby St. & Telegraph Ave               50
18              Derby St. & Warring St.                 52
19              Russell St. & Telegraph Ave             55
20              Ashby Ave. & Adeline St.                57
21              Ashby Ave. & Shattuck Ave.              59
22              Ashby Ave. & Telegraph Ave              62
23              Ashby Ave. & College Ave.               64
24              Ashby Ave. & Claremont Ave.             66
25              Webster St. & Telegraph Ave             68
26              Woolsey St. & Telegraph Ave             70
27              Alcatraz Ave. & College Ave.            72
28              Alcatraz Ave. & Adeline St.             74
29              Alcatraz Ave. & Telegraph Ave           76
30              62nd St. & Claremont Ave.               79
31              Aileen St & Telegraph Ave               91
32              56th St & Telegraph Ave                 93
33              55th St & Telegraph Ave                 96
34              55th St. & Martin Luther King Jr. Wy.   99
35              55th St. & Shattuck Ave.                101
36              52nd St. & Martin Luther King Jr. Wy.   104
37              52nd St. & Shattuck Ave.                106
38              52nd St & Telegraph Ave                 108
39              51st St & Telegraph Ave                 110


                                                                 Appendix C - 3
40   50th St & Telegraph Ave                        113
41   48th St & Telegraph Ave                        114
42   47th St. & Telegraph Ave                       115
43   46th St. & Telegraph Ave                       116
44   45th St. & Telegraph Ave                       119
45   42nd St & Telegraph Ave                        122
46   40th St. & Martin Luther King Jr. Wy.          124
47   40th St & Telegraph Ave                        126
48   40th St. & Broadway                            128
49   MacArthur Blvd. & Martin Luther King Jr. Wy.   130
50   W. MacArthur Blvd & Telegraph Ave              132
