                          City Of Los Angeles
                          Department Of Transportation
                          MANUAL TRAFFIC COUNT SUMMARY
STREET:
North/South               Western Heritage Way (Griffith Park)

East/West                 Zoo Dr

Day:                      Saturday              Date:           12/02/2017                Weather:           SUNNY

Hours:        9 AM - 6 PM                                                Chekrs:          NDS

School Day:                           Yes                                                   I/S CODE


                             N/B                          S/B                                E/B                       W/B
DUAL-
WHEELED                        15                          10                                    4                      11
BIKES                         184                         235                                   42                     211
BUSES                          10                           8                                    0                       0


                             N/B      TIME                S/B    TIME                        E/B     TIME              W/B    TIME

AM PK 15 MIN                     62    9.30               120     9.30                          39    9.45             103     9.45

PM PK 15 MIN                  130     17.00               184    14.45                          93   16.00             158    17.45

AM PK HOUR                    228      9.00               467     9.00                          99    9.00             321     9.00

PM PK HOUR                    492     16.30               667    15.45                       352     16.30             429    17.00




NORTHBOUND Approach                                             SOUTHBOUND Approach                                          TOTAL    XING S/L       XING N/L

Hours           Lt          Th        Rt        Total           Hours              Lt       Th       Rt Total                 N-S      Ped   Sch      Ped   Sch
9-10                 20      126        82          228         9-10                 95      191      181   467                 695      0     0        5     0
10-11                16      151        75          242         10-11                98      244      121   463                 705      0     0        0     0
11-12                21      213        96          330         11-12               123      254       62   439                 769      1     0        0     0
12-13                19      224       137          380         12-13               149      239       41   429                 809      0     0        0     0
13-14                18      245       109          372         13-14               185      246       61   492                 864      0     0        0     0
14-15                10      227       115          352         14-15               231      335       27   593                 945      0     0        0     0
15-16                11      267       149          427         15-16               291      326       15   632                1059      0     0        0     0
16-17                14      280       150          444         16-17               304      312       22   638                1082      0     0        2     0
17-18                29      231       153          413         17-18               232      266      126   624                1037      0     0        0     0

TOTAL            158         1964     1066        3188          TOTAL              1708     2413       656     4777           7965       1       0      7       0


EASTBOUND Approach                                              WESTBOUND Approach                                           TOTAL    XING W/L       XING E/L

Hours           Lt          Th        Rt        Total           Hours              Lt       Th       Rt      Total            E-W      Ped   Sch      Ped   Sch
9-10                 33        41          25        99         9-10                 77      189        55       321            420     10     0       58     0
10-11                75        88          21       184         10-11                86      184        75       345            529     14     5       24     0
11-12                98        99          31       228         11-12               100      193        87       380            608      1     0        8     0
12-13                77       106          20       203         12-13                69      139       105       313            516      0     0        2     0
13-14                63        96          32       191         13-14                75      114       109       298            489      1     0        2     0
14-15                58       124          19       201         14-15                86        80      103       269            470      2     0        4     0
15-16                56       162          29       247         15-16                70        55      123       248            495      0     0        1     0
16-17                86       235          24       345         16-17                51        71       66       188            533      1     0        4     0
17-18                67       140          28       235         17-18                37      313        79       429            664      0     0        0     0

TOTAL            613         1091      229        1933          TOTAL               651     1338       802     2791           4724      29       5    103       0

