                                TRAFFIC COUNT SUMMARY
                                                                                                                City of Los Angeles
STREET:                                                                                         Department of Transportation
North/South       GLENDALE FRWY NB OFF RAMP                                                                         (Rev Apr 92)

East/West         SAN FERNANDO RD

Day:    TU                       Date:       SEP 1,1992              Weather:       CLEAR

Hours: 7-10 AM 3-6 PM

School Day:       YES            District:           CENTRAL


                   N/B                         S/B                     E/B                      W/B
DUAL-
WHEELED            293                          0                     213                       273

BUSES               0                           0                      54                       47


                   N/B TIME                    S/B TIME                E/B TIME                 W/B     TIME

AM PK 15 MIN       173   7.45                   0    7.00             345    8.00               225     7.45

PM PK 15 MIN       208   3.15                   0    3.00             294    5.30               261     4.45

AM PK HOUR         614   7.00                   0    7.00            1235    7.30               825     7.15

PM PK HOUR         746   3.45                   0    3.00            1098    5.00               965     4.45




NORTHBOUND Approach                                  SOUTHBOUND Approach                              TOTAL     XING S/L        XING N/L

Hours        Lt    Th    Rt      Total               Hours     Lt     Th     Rt     Total              N-S       Ped    Sch     Ped   Sch
7-8         451      0   163       614               7-8         0      0      0            0           614       1      0       0     0
8-9         297      0   177       474               8-9         0      0      0            0           474       6      4       0     0
9-10        256      0   139       395               9-10        0      0      0            0           395      13      0       0     0
3-4         459      0   219       678               3-4         0      0      0            0           678       5      0       0     0
4-5         436      0   296       732               4-5         0      0      0            0           732      11      0       0     0
5-6         463      0   276       739               5-6         0      0      0            0           739      13      0       0     0

TOTAL 2362          0 1270        3632               TOTAL      0       0       0           0           3632      49       4      0        0


EASTBOUND Approach                                   WESTBOUND Approach                               TOTAL     XING W/L        XING E/L

Hours       Lt     Th    Rt      Total               Hours     Lt     Th     Rt     Total              E-W       Ped    Sch     Ped   Sch
7-8           0   1086     0      1086               7-8         0    814      0      814              1900       0      0       0     0
8-9           0   1103     0      1103               8-9         0    707      0      707              1810       0      0       2     0
9-10          0    546     0       546               9-10        0    602      0      602              1148       0      0       0     0
3-4           0    880     0       880               3-4         0    731      0      731              1611       0      0       3     0
4-5           0   1038     0      1038               4-5         0    843      0      843              1881       0      0       3     0
5-6           0   1098     0      1098               5-6         0    923      0      923              2021       0      0       1     0

TOTAL         0 5751       0      5751               TOTAL      0 4620          0    4620              10371       0       0      9        0

