                                 TRAFFIC COUNT SUMMARY

STREET:
North/South               GLENOAKS BLVD

East/West                 VAN NUYS BLVD

Day:    THURSDAY                      Date:       3-14-1996               Weather:         CLOUDY

Hours: 7-10 AM 3-6 PM

School Day:       YES                 District:           EAST VALLEY


                    N/B                             S/B                      E/B                    W/B
DUAL-
WHEELED             146                            156                       69                      72
BIKES                19                             25                       14                      29
BUSES                40                             69                       56                      48


                    N/B TIME                        S/B TIME                 E/B TIME               W/B TIME

AM PK 15 MIN        165 7:30                       227 7:45                 181 7:45                198 7:30

PM PK 15 MIN        239 3:30                       227 4:30                 226 5:00                199 4:00

AM PK HOUR          583 7:00                       737 7:00                 545 7:00                684 7:00

PM PK HOUR          876 5:00                       739 4:00                 833 5:00                726 4:00



NORTHBOUND Approach                                       SOUTHBOUND Approach                             TOTAL    XING S/L    XING N/L

Hours       Lt     Th      Rt         Total               Hours     Lt      Th       Rt    Total           N-S     Ped   Sch   Ped   Sch
7-8         112    442      29          583               7-8        64     574       99     737           1320     51   20    30    10
8-9          58    274      81          413               8-9        72     405      100     577            990     71    4    37     1
9-10         69    264      55          388               9-10       69     301      107     477            865     60    0    35     0
3-4         103    614     100          817               3-4        99     456      156     711           1528    125    0    35     0
4-5          91    649     102          842               4-5        83     504      152     739           1581    144    1    44     0
5-6         104    693      79          876               5-6       101     416      161     678           1554     92    0    49     0

TOTAL       537    2936    446         3919               TOTAL     488    2656      775    3919           7838    543    25   230    11


EASTBOUND Approach                                        WESTBOUND Approach                              TOTAL    XING W/L    XING E/L

Hours       Lt     Th      Rt         Total               Hours     Lt      Th       Rt    Total           E-W     Ped   Sch   Ped   Sch
7-8         141    333      71          545               7-8        86     467      131     684            1229   41    19    11    10
8-9         131    262      59          452               8-9        57     316      101     474             926   47     0    29     0
9-10        108    250      64          422               9-10       54     278       95     427             849   87     0    20     0
3-4         141    460      92          693               3-4       129     441      116     686            1379   83     6    69     1
4-5         170    533      77          780               4-5        83     507      136     726            1506   98     3    46     6
5-6         211    541      81          833               5-6       113     477      130     720            1553   67     1    68     0

TOTAL       902    2379    444         3725               TOTAL     522    2486      709    3717           7442    423    29   243    17

