                                TRAFFIC COUNT SUMMARY
                                                                                                           City of Los Angeles
STREET:                                                                                    Department of Transportation
North/South       KENISTON AVE/JUNE ST                                                                         (Rev Apr 92)

East/West         WILSHIRE BL

Day:    FR                       Date:       OCT 2,1992           Weather:       CLEAR

Hours: 7-10 AM 3-6 PM

School Day:       YES            District:          HW


                   N/B                        S/B                   E/B                   W/B
DUAL-
WHEELED              3                         10                   74                    133

BUSES                0                          0                  122                    126


                   N/B TIME                   S/B TIME              E/B TIME              W/B      TIME

AM PK 15 MIN        30   7.30                  32   7.45           294    8.15            444      7.45

PM PK 15 MIN        91   4.00                  42   3.00           403    5.00            383      5.15

AM PK HOUR          68   7.30                  95   7.30          1003    8.15            1398     7.30

PM PK HOUR         152   3.45                 122   3.00          1584    5.00            1498     4.45




NORTHBOUND Approach                                 SOUTHBOUND Approach                          TOTAL     XING S/L        XING N/L

Hours       Lt     Th    Rt      Total              Hours   Lt     Th     Rt     Total            N-S       Ped    Sch     Ped   Sch
7-8         32       4   20          56             7-8     36      14    32         82            138      22     21       9     3
8-9         12      17   21          50             8-9     14      13    37         64            114      10      0      10     0
9-10        17       6   13          36             9-10      6      3      9        18             54      49      0      22     0
3-4         16       9   31          56             3-4     40      20    62       122             178      29     55      14    20
4-5         74      32   29        135              4-5     23      17    43         83            218      18      9       9    18
5-6         36       9   34          79             5-6     24      20    64       108             187      22      3       8     9

TOTAL       187     77   148        412             TOTAL   143     87    247      477              889    150     88       72    50


EASTBOUND Approach                                  WESTBOUND Approach                           TOTAL     XING W/L        XING E/L

Hours       Lt  Th       Rt      Total              Hours   Lt     Th     Rt     Total            E-W       Ped    Sch     Ped   Sch
7-8         21 710         8       739              7-8       9   1187    26      1222            1961      16     32       0     0
8-9         41 941         9       991              8-9       9   1263    14      1286            2277       8      1       0     0
9-10        29 803         5       837              9-10    13     984    14      1011            1848      37      0       0     0
3-4         41 1212      20       1273              3-4     32    1261    43      1336            2609      26     62       0     4
4-5         23 1177      14       1214              4-5     25    1332    23      1380            2594      13     16       0     0
5-6         39 1540        5      1584              5-6     30    1441    14      1485            3069      21      9       0     0

TOTAL       194 6383      61      6638              TOTAL   118 7468      134     7720            14358    121    120        0        4

