                                 TRAFFIC COUNT SUMMARY

STREET:
North/South               FOOTHILL BLVD

East/West                 VAN NUYS BLVD

Day:    THURSDAY                      Date:       3-14-1996                   Weather:         CLOUDY

Hours: 7-10 AM 3-6 PM

School Day:       YES                 District:           EAST VALLEY


                    N/B                             S/B                          E/B                    W/B
DUAL-
WHEELED             119                            130                           58                      19
BIKES                12                              6                            4                       4
BUSES                49                             36                           33                      10


                    N/B TIME                        S/B TIME                     E/B TIME               W/B TIME

AM PK 15 MIN        147 7:00                       187 7:00                      86 7:45                 79 7:45

PM PK 15 MIN        171 5:45                       235 4:30                     120 4:45                 70 4:30

AM PK HOUR          353 7:00                       445 7:00                     224 9:00                218 7:00

PM PK HOUR          639 5:00                       766 5:00                     425 5:00                231 5:00



NORTHBOUND Approach                                       SOUTHBOUND Approach                                 TOTAL    XING S/L       XING N/L

Hours       Lt     Th      Rt         Total               Hours     Lt          Th       Rt    Total           N-S     Ped   Sch      Ped   Sch
7-8          60    282      11          353               7-8        46         306       93     445            798     5     0       19     0
8-9          71    217      17          305               8-9        28         198       96     322            627     4     0        9     0
9-10         69    197      18          284               9-10       36         194       77     307            591     5     0        8     0
3-4          86    348      30          464               3-4       113         411      140     664           1128    10     6       11     3
4-5          82    311      35          428               4-5        72         428      149     649           1077    14     3       12     0
5-6         110    477      52          639               5-6       113         500      153     766           1405    25     0        7     0

TOTAL       478    1832    163         2473               TOTAL     408        2037      708    3153           5626     63        9    66        3


EASTBOUND Approach                                        WESTBOUND Approach                                  TOTAL    XING W/L       XING E/L

Hours       Lt     Th      Rt         Total               Hours         Lt      Th       Rt    Total           E-W     Ped   Sch      Ped   Sch
7-8         106     53      31          190               7-8            42     118       58     218             408    2     0       24     2
8-9         114     40      62          216               8-9            32      57       35     124             340    5     0       23     0
9-10        105     50      69          224               9-10           36      55       34     125             349    2     0       21     0
3-4         179     95     120          394               3-4            53      99       54     206             600    1     0       20     1
4-5         154     76     123          353               4-5            30      93       43     166             519    4     0       15     1
5-6         181    105     139          425               5-6            54     112       65     231             656    5     0       18     0

TOTAL       839     419    544         1802               TOTAL     247         534      289    1070           2872     19        0   121        4

