                         City Of Los Angeles
                         Department Of Transportation
                         MANUAL TRAFFIC COUNT SUMMARY
STREET:
North/South              Eagle Rock Blvd

East/West                York Blvd

Day:                     Thursday              Date:            06/07/2018                Weather:             SUNNY

Hours:                                                                   Chekrs:          NDS

School Day:                          Yes                                                    I/S CODE


                            N/B                           S/B                                E/B                         W/B
DUAL-
WHEELED                     162                           101                                   37                       121
BIKES                        45                            47                                    6                        27
BUSES                        43                            31                                    0                        16


                            N/B      TIME                 S/B    TIME                        E/B     TIME                W/B    TIME

AM PK 15 MIN                306       7.45                329     7.45                          85    9.30               237     8.15

PM PK 15 MIN                372      17.30                291    17.00                          99   16.30               200    14.30

AM PK HOUR                 1019       7.30               1265     7.30                       276      7.15               893     7.45

PM PK HOUR                 1420      17.00               1009    16.45                       372     16.15               708    14.00




NORTHBOUND Approach                                             SOUTHBOUND Approach                                            TOTAL    XING S/L       XING N/L

Hours          Lt          Th        Rt Total                   Hours              Lt       Th       Rt        Total            N-S      Ped   Sch      Ped   Sch
7-8                 24      567       252   843                 7-8                 124      946          42     1112           1955       0     0       22     1
8-9                 40      522       327   889                 8-9                 149      904          39     1092           1981       0     0       17     0
9-10                47      443       299   789                 9-10                123      642          38       803          1592       0     0       24     0
11-12               41      581       335   957                 11-12               171      650          51       872          1829       0     0       16     1
14-15               54      631       407 1092                  14-15               186      704          47       937          2029       0     0       16     2
15-16               51      643       462 1156                  15-16               205      694          47       946          2102       0     0       14     5
16-17               42      777       473 1292                  16-17               180      688          58       926          2218       0     0       28     0
17-18               52      869       499 1420                  17-18               209      726          71     1006           2426       0     0       40     1

TOTAL          351         5033      3054        8438           TOTAL              1347     5954       393       7694          16132       0       0    177   10


EASTBOUND Approach                                              WESTBOUND Approach                                             TOTAL    XING W/L       XING E/L

Hours          Lt          Th        Rt        Total            Hours              Lt       Th       Rt        Total            E-W      Ped   Sch      Ped   Sch
7-8                 35      209           25       269          7-8                 539      238        54         831           1100     21     3       17     1
8-9                 32      177           31       240          8-9                 554      236        89         879           1119     18     0       23     0
9-10                33      170           38       241          9-10                465      186        83         734            975     28     1       34     0
11-12               38      199           13       250          11-12               366      167       102         635            885     28     1       15     0
14-15               34      221           22       277          14-15               430      169       109         708            985     14     1       25     0
15-16               31      274           17       322          15-16               378      165       104         647            969     10     3       17     0
16-17               36      289           25       350          16-17               364      155       107         626            976     23     2       30     0
17-18               54      287           22       363          17-18               411      179        80         670           1033     41     2       31     0

TOTAL          293         1826       193        2312           TOTAL              3507     1495       728       5730           8042     183   13       192       1

