                               TRAFFIC COUNT SUMMARY
                                                                                                         City of Los Angeles
STREET:                                                                                  Department of Transportation
North/South      OVERLAND AVE                                                                                (Rev Apr 92)

East/West        PALMS BL

Day:    FR                      Date:       AUGUST 28,1992       Weather:       CLEAR

Hours: 7-10 AM 3-6 PM

School Day:      YES            District:          WESTERN


                  N/B                        S/B                   E/B                  W/B
DUAL-
WHEELED            73                         93                   60                    98

BUSES              0                           2                   19                    19


                  N/B TIME                   S/B TIME              E/B TIME             W/B      TIME

AM PK 15 MIN      220   8.15                 211   8.00           367    8.45           365      7.45

PM PK 15 MIN      236   4.00                 276   3.15           325    5.45           337      5.15

AM PK HOUR        850   7.45                 599   7.30          1248    8.00           1106     7.30

PM PK HOUR        848   4.00                 935   4.45          1155    5.00           1266     5.00




NORTHBOUND Approach                                SOUTHBOUND Approach                         TOTAL     XING S/L        XING N/L

Hours       Lt    Th    Rt      Total              Hours    Lt    Th     Rt     Total           N-S       Ped    Sch     Ped   Sch
7-8         34    583   46        663              7-8      86    313     44      443           1106      17     23      34    46
8-9         63    712   65        840              8-9     103    416     71      590           1430      11      2      22     5
9-10        29    584   66        679              9-10     70    379     47      496           1175      10      0      21     0
3-4         76    582   67        725              3-4     116    650    132      898           1623      14     28      26    65
4-5         79    701   68        848              4-5      95    636    141      872           1720      18      5      27     2
5-6         90    686   62        838              5-6      79    660    170      909           1747      12      1      15     9

TOTAL       371 3848    374      4593              TOTAL   549 3054      605     4208            8801      82    59      145   127


EASTBOUND Approach                                 WESTBOUND Approach                          TOTAL     XING W/L        XING E/L

Hours        Lt  Th     Rt      Total              Hours    Lt  Th       Rt     Total           E-W       Ped    Sch     Ped   Sch
7-8         162 617     27        806              7-8      70 747       115      932           1738      22     15      23    24
8-9         193 1022    33       1248              8-9      85 693       132      910           2158      12      1      21     1
9-10        169 590     26        785              9-10    113 515        67      695           1480       7      0      32     3
3-4         145 727     53        925              3-4     117 669        89      875           1800      30     32      38    28
4-5         137 832     40       1009              4-5     106 689        97      892           1901      24      6      35     2
5-6         170 928     57       1155              5-6     102 1047      117     1266           2421       7      3      28     7

TOTAL       976 4716    236      5928              TOTAL   593 4360      617     5570           11498    102     57      177    65

