                                TRAFFIC COUNT SUMMARY
                                                                                                           City of Los Angeles
STREET:                                                                                    Department of Transportation
North/South       CHURCH LANE                                                                                  (Rev Apr 92)

East/West         SUNSET BL

Day:    WE                       Date:       OCT 7,1992            Weather:       CLEAR

Hours: 7-10 AM 3-6 PM

School Day:       YES            District:           WESTERN


                   N/B                         S/B                   E/B                   W/B
DUAL-
WHEELED              8                        206                   236                    213

BUSES                0                         44                    22                     0


                   N/B TIME                    S/B TIME              E/B TIME              W/B     TIME

AM PK 15 MIN        21   9.30                 425    8.00           539    9.00            329     8.45

PM PK 15 MIN        41   5.00                 359    3.00           509    3.30           467      5.15

AM PK HOUR          80   9.00                1547    7.30          1987    7.30           1223     8.45

PM PK HOUR         149   5.00                1217    3.00          1859    4.45           1643     5.00



NORTHBOUND Approach                                  SOUTHBOUND Approach                         TOTAL     XING S/L       XING N/L

Hours       Lt     Th    Rt      Total               Hours   Lt     Th     Rt     Total           N-S       Ped    Sch     Ped   Sch
7-8          21      2    28         51              7-8     528    146    707     1381           1432       3      0       15    0
8-9          33      6    25         64              8-9     560    162    773     1495           1559       3      0        8    0
9-10         40     16    24         80              9-10    490    119    664     1273           1353       3      0        8    0
3-4          75      8    25       108               3-4     397     75    745     1217           1325       5      0        0    0
4-5          73     18    29       120               4-5     394     56    701     1151           1271       8      0        1    0
5-6         106     15    28       149               5-6     357     66    747     1170           1319       2      0        0    0

TOTAL       348     65   159        572              TOTAL 2726     624 4337       7687            8259      24       0     32       0


EASTBOUND Approach                                   WESTBOUND Approach                          TOTAL     XING W/L       XING E/L

Hours       Lt     Th    Rt      Total               Hours   Lt   Th       Rt     Total           E-W       Ped    Sch     Ped   Sch
7-8          25   1288    91      1404               7-8      17 694       221      932           2336        1     1       0     0
8-9          83   1741   123      1947               8-9      24 903       278     1205           3152        2     0       0     0
9-10        133   1475    77      1685               9-10     17 849       314     1180           2865        3     0       0     0
3-4         243   1462    49      1754               3-4      20 961       535     1516           3270        6     2       0     0
4-5         263   1441    55      1759               4-5      30 888       509     1427           3186       11     3       0     0
5-6         307   1505    38      1850               5-6      31 1084      528     1643           3493        3     0       0     0

TOTAL 1054 8912          433     10399               TOTAL   139 5379 2385         7903           18302     26        6      0       0

