                                  TRAFFIC COUNT SUMMARY
                                                                                                               City of Los Angeles
STREET:                                                                                        Department of Transportation
North/South       HASKELL AVE E I/S /DRWY                                                                          (Rev Apr 92)

East/West         VENTURA BL

Day:    TU                         Date:       AUGUST 18 1992        Weather:        CLEAR

Hours: 7-10 AM 3-6 PM

School Day:       NO               District:          WEST VALLEY


                   N/B                          S/B                    E/B                    W/B
DUAL-
WHEELED             12                            3                   265                     146

BUSES                  0                          0                    56                      65


                   N/B TIME                     S/B TIME               E/B TIME               W/B      TIME

AM PK 15 MIN        47     9.00                   3   8.15            722    8.00             325      8.45

PM PK 15 MIN        49     5.00                  10   4.15            606    5.00             464      5.15

AM PK HOUR         154     8.45                   9   8.15           2838    7.45             1179     8.45

PM PK HOUR         187     5.00                  25   3.45           2171    5.00             1778     5.00




NORTHBOUND Approach                                   SOUTHBOUND Approach                            TOTAL     XING S/L        XING N/L

Hours        Lt    Th      Rt      Total              Hours   Lt      Th     Rt      Total            N-S       Ped    Sch     Ped   Sch
7-8          35      1     44          80             7-8       1       1      1          3             83      10      0      15     1
8-9          62      0     60        122              8-9       3       0      3          6            128      15      0      23     0
9-10         89      0     65        154              9-10      2       0      6          8            162      36      0      20     0
3-4          93      3     29        125              3-4     14        4      2         20            145      21      3      12     0
4-5          90      2     35        127              4-5       9       2    12          23            150      17      0       4     5
5-6         134      6     47        187              5-6     13        0      5         18            205      18      0       0     0

TOTAL       503     12     280        795             TOTAL     42      7       29       78             873    117        3     74        6


EASTBOUND Approach                                    WESTBOUND Approach                             TOTAL     XING W/L        XING E/L

Hours       Lt     Th      Rt      Total              Hours   Lt      Th     Rt      Total            E-W       Ped    Sch     Ped   Sch
7-8           2   2322     216      2540              7-8     29      657      2       688            3228       1      0      15     0
8-9           2   2549     182      2733              8-9     45     1101      3      1149            3882       0      0       9     0
9-10        10    1929     137      2076              9-10    41     1089      8      1138            3214       1      0      21     0
3-4           5   1599      76      1680              3-4     32     1107    12       1151            2831       0      0       6     2
4-5           9   1705      99      1813              4-5     38     1265    10       1313            3126       1      0       4     0
5-6         10    2066      95      2171              5-6     40     1713    25       1778            3949       0      0      13     0

TOTAL       38 #####       805     13013              TOTAL   225 6932          60    7217            20230       3       0     68        2

