                                TRAFFIC COUNT SUMMARY
                                                                                                             City of Los Angeles
STREET:                                                                                      Department of Transportation
North/South       VAN NESS AVE                                                                                   (Rev Apr 92)

East/West         60TH ST

Day:    WE                       Date:       AUGUST 26,1992        Weather:        CLEAR

Hours: 7-10 AM 3-6 PM

School Day:       YES            District:          SOUTHERN


                   N/B                        S/B                    E/B                     W/B
DUAL-
WHEELED             21                         86                    12                       0

BUSES               13                          9                     0                       0


                   N/B TIME                   S/B TIME               E/B TIME                W/B     TIME

AM PK 15 MIN       175   7.30                 126   7.45             13    7.30               7      7.30

PM PK 15 MIN       135   4.45                 153   5.45             22    3.30               5      3.30

AM PK HOUR         621   7.30                 434   7.30             44    7.15              14      7.00

PM PK HOUR         525   4.45                 580   5.00             64    3.30              13      3.30




NORTHBOUND Approach                                 SOUTHBOUND Approach                            TOTAL     XING S/L        XING N/L

Hours       Lt     Th    Rt      Total              Hours   Lt      Th     Rt      Total            N-S       Ped    Sch     Ped   Sch
7-8         37     535     0       572              7-8       4     376      5       385             957       0      0       3     8
8-9         28     526     3       557              8-9       1     370    12        383             940       0      0       5     9
9-10          5    350     1       356              9-10      2     303      2       307             663       0      0       0     0
3-4           0     89     3         92             3-4       6     368      6       380             472       0      0      15    21
4-5           9    163     0       172              4-5       1     472      9       482             654       0      0       9     3
5-6         16     509     0       525              5-6     10      559    11        580            1105       0      0       7     4

TOTAL       95 2172         7     2274              TOTAL     24 2448         45    2517            4791        0       0     39    45


EASTBOUND Approach                                  WESTBOUND Approach                             TOTAL     XING W/L        XING E/L

Hours       Lt     Th    Rt      Total              Hours   Lt      Th     Rt      Total            E-W       Ped    Sch     Ped   Sch
7-8           4      5   31          40             7-8       0      10      4         14             54       1      6       3     1
8-9           7      3   19          29             8-9       0       6      0           6            35       2      0       5     2
9-10          3      1   11          15             9-10      0       1      1           2            17       1      0       0     0
3-4         19      13   20          52             3-4       1       4      4           9            61       8      4       0     5
4-5         21      11   21          53             4-5       1       4      3           8            61      11      7       0     2
5-6           4     12   34          50             5-6       0       6      3           9            59       3      4       0     0

TOTAL       58      45   136        239             TOTAL      2     31       15       48            287       26    21        8    10

