                          City Of Los Angeles
                          Department Of Transportation
                          MANUAL TRAFFIC COUNT SUMMARY
STREET:
North/South               Martel Ave

East/West                 Hawthorn Ave

Day:                      Wednesday                Date:              June 17, 2015                 Weather:              SUNNY

Hours:        7:30 - 9:30 am & 2:00 - 6:00 pm                                   Chekrs:             NDS

School Day:               YES                      District:                                          I/S CODE


                                N/B                             S/B                                    E/B                             W/B
DUAL-
WHEELED                            2                             2                                          4                            2
BIKES                              0                             1                                         10                           11
BUSES                              0                             0                                          0                            0


                                N/B     TIME                    S/B     TIME                           E/B      TIME                   W/B    TIME

AM PK 15 MIN                      13     9.00                   16       9.15                              17    8.45                   27     9.15

PM PK 15 MIN                      19    17.30                   16      17.00                              35   17.15                   35    17.45

AM PK HOUR                        44     8.30                   40       8.30                              59    8.30                   93     8.30

PM PK HOUR                        50    16.45                   42      16.30                          129      17.00                  115    15.30




NORTHBOUND Approach                                                   SOUTHBOUND Approach                                                    TOTAL    XING S/L       XING N/L

Hours           Lt           Th          Rt        Total              Hours               Lt          Th        Rt        Total               N-S      Ped   Sch      Ped   Sch
7-8                  2             2          10           14         7-8                       4           4         7           15             29      5     0       12     0
8-9                  4             6          23           33         8-9                      11           7        13           31             64     13     0       29     0
9-10                 4             1          19           24         9-10                      7           7        12           26             50     11     0       11     0
14-15                4            10          29           43         14-15                    13          12        15           40             83     30     0       16     0
15-16                7             7          27           41         15-16                    10           9        11           30             71     16     0       11     1
16-17                7             6          35           48         16-17                     6          10        17           33             81     14     1       16     5
17-18                7             8          34           49         17-18                    11           9        18           38             87     28     3       28     9

TOTAL                35            40     177          252            TOTAL                    62          58        93       213              465     117       4    123   15


EASTBOUND Approach                                                    WESTBOUND Approach                                                     TOTAL    XING W/L       XING E/L

Hours           Lt           Th          Rt        Total              Hours               Lt          Th        Rt        Total               E-W      Ped   Sch      Ped   Sch
7-8                   6             7          1        14            7-8                       5          30         5        40                54      5     0        4     0
8-9                   5            50          3        58            8-9                      12          52         5        69               127     11     0       10     0
9-10                  6            19          3        28            9-10                      6          38         8        52                80      8     0        8     0
14-15                17            74          6        97            14-15                    11          56         7        74               171     11     0       15     0
15-16                22            72          9       103            15-16                    16          77         9       102               205      9     0       13     1
16-17                15            94         14       123            16-17                    20          78        15       113               236     10     1        6     0
17-18                13           106         10       129            17-18                    16          71        21       108               237     13     3       16     1

TOTAL                84           422         46       552            TOTAL                    86      402           70       558             1110      67       4     72       2

