                                TRAFFIC COUNT SUMMARY
                                                                                                         City of Los Angeles
STREET:                                                                                  Department of Transportation
North/South       FAIRFAX AVE                                                                                (Rev Apr 92)

East/West         MELROSE AVE

Day:    TU                       Date:       SEP 22,1992         Weather:       CLEAR

Hours: 7-10 AM 3-6 PM

School Day:       YES            District:           HW


                   N/B                         S/B                 E/B                  W/B
DUAL-
WHEELED            140                        102                 138                   156

BUSES               40                         44                  55                    37


                   N/B TIME                    S/B TIME            E/B TIME             W/B      TIME

AM PK 15 MIN       206   7.45                 338    8.45         202    8.30           404      8.30

PM PK 15 MIN       351   5.30                 266    3.30         288    5.30           308      3.00

AM PK HOUR         728   8.30                1295    8.15         737    8.30           1383     8.00

PM PK HOUR 1291          5.00                 943    3.15        1123    5.00           1143     5.00




NORTHBOUND Approach                                  SOUTHBOUND Approach                       TOTAL     XING S/L        XING N/L

Hours        Lt  Th      Rt      Total               Hours    Lt  Th     Rt     Total           N-S       Ped   Sch      Ped   Sch
7-8          37 381      125       543               7-8     122 637      90      849           1392      26    183      16    16
8-9          68 527      103       698               8-9     120 1006    142     1268           1966      94     26      38     2
9-10         81 542       64       687               9-10     99 786      97      982           1669      55      1      25     0
3-4         109 866      195      1170               3-4     143 680     116      939           2109      54    199      28    24
4-5          87 960      148      1195               4-5     153 640     105      898           2093      72     10      39    15
5-6         107 1034     150      1291               5-6     132 602     106      840           2131      77     12      18     5

TOTAL       489 4310     785      5584               TOTAL   769 4351    656     5776           11360    378    431      164    62


EASTBOUND Approach                                   WESTBOUND Approach                        TOTAL     XING W/L        XING E/L

Hours        Lt    Th    Rt      Total               Hours    Lt  Th     Rt     Total           E-W       Ped    Sch     Ped   Sch
7-8          39    402   48        489               7-8     155 786      56      997           1486      39      2      29    34
8-9         110    541   49        700               8-9     148 1158     77     1383           2083      78      0      57    11
9-10        104    575   46        725               9-10    141 849      64     1054           1779      38      0      37     3
3-4         110    839   39        988               3-4     143 845     113     1101           2089      63     12      25    67
4-5          96    772   31        899               4-5     176 825      96     1097           1996      53      0      34     6
5-6         108    984   31       1123               5-6     169 833     141     1143           2266      33      0      50     6

TOTAL       567 4113     244      4924               TOTAL   932 5296    547     6775           11699    304     14      232   127

