                                TRAFFIC COUNT SUMMARY
                                                                                                            City of Los Angeles
STREET:                                                                                     Department of Transportation
North/South       HAUSER BL                                                                                     (Rev Apr 92)

East/West         COLISEUM ST

Day:    FR                       Date:       SEP 11,1992           Weather:        CLEAR

Hours: 7-10 AM 3-6 PM

School Day:       YES            District:           SOUTHERN


                   N/B                         S/B                   E/B                    W/B
DUAL-
WHEELED              1                          5                     9                     17

BUSES                0                          0                     0                      0


                   N/B TIME                    S/B TIME              E/B TIME               W/B     TIME

AM PK 15 MIN         2   7.00                  19    8.00            50    8.00             108     7.45

PM PK 15 MIN         1   3.15                  35    3.30            66    5.45             71      5.45

AM PK HOUR           5   8.00                  55    7.15           137    7.30             409     7.30

PM PK HOUR           3   3.00                 115    3.15           227    5.00             261     5.00




NORTHBOUND Approach                                  SOUTHBOUND Approach                          TOTAL     XING S/L        XING N/L

Hours       Lt     Th    Rt      Total               Hours   Lt     Th     Rt      Total           N-S       Ped    Sch     Ped   Sch
7-8           3      0     1             4           7-8     39       1    11          51            55       2      0      12     2
8-9           2      0     3             5           8-9     36       1      9         46            51       3      0       3     1
9-10          0      0     0             0           9-10    22       0      4         26            26       2      0       2     0
3-4           2      0     1             3           3-4     89       1    19        109            112       0      1       2     0
4-5           0      0     1             1           4-5     74       1    14          89            90       0      0       4     0
5-6           0      0     1             1           5-6     88       1    13        102            103       2      0       3     0

TOTAL         7     0      7         14              TOTAL   348      5       70     423            437        9       1     26        3


EASTBOUND Approach                                   WESTBOUND Approach                           TOTAL     XING W/L        XING E/L

Hours       Lt     Th    Rt      Total               Hours   Lt     Th     Rt      Total           E-W       Ped    Sch     Ped   Sch
7-8         12      89     1       102               7-8       0    257    99        356             458      0      0       4     0
8-9         18      89     0       107               8-9       2    223    99        324             431      0      0       3     0
9-10          0     45     0         45              9-10      2    123    48        173             218      0      0       0     0
3-4         13     121     2       136               3-4       0    131    52        183             319      0      0       2     0
4-5         13     171     0       184               4-5       1    162    46        209             393      0      0       0     0
5-6           5    219     3       227               5-6       0    182    79        261             488      0      0       7     0

TOTAL       61     734     6        801              TOTAL      5 1078     423      1506           2307        0       0     16        0

