                                TRAFFIC COUNT SUMMARY
                                                                                                            City of Los Angeles
STREET:                                                                                     Department of Transportation
North/South       FOSTER DR                                                                                     (Rev Apr 92)

East/West         COMMODORE SLOAT DR

Day:    FR                       Date:       SEP 25,1992           Weather:        CLEAR

Hours: 7-10 AM 3-6 PM

School Day:       YES            District:           HW


                   N/B                         S/B                   E/B                    W/B
DUAL-
WHEELED             20                          1                     2                     11

BUSES                0                          0                     0                      0


                   N/B TIME                    S/B TIME              E/B TIME               W/B     TIME

AM PK 15 MIN        61   8.00                   7    9.00            18    8.15             41      7.45

PM PK 15 MIN        26   5.30                  11    3.45            17    4.00             34      3.00

AM PK HOUR         163   8.00                  25    9.00            62    7.45             154     7.45

PM PK HOUR          80   4.45                  31    5.00            55    4.00             106     4.45




NORTHBOUND Approach                                  SOUTHBOUND Approach                          TOTAL     XING S/L        XING N/L

Hours       Lt     Th    Rt      Total               Hours   Lt     Th     Rt      Total           N-S       Ped    Sch     Ped   Sch
7-8           6     46   27          79              7-8       5      5      1         11            90       5      1       6     0
8-9         22      88   53        163               8-9       5      6      3         14           177       3      2       7     0
9-10          7     27   10          44              9-10    11      11      3         25            69       9      0      15     0
3-4           9     40   16          65              3-4     10      15      5         30            95       1      6       3     0
4-5         14      21   29          64              4-5       8     10      0         18            82       0      0       6     0
5-6         12      41   22          75              5-6     12      17      2         31           106       1      0       4     0

TOTAL       70     263   157        490              TOTAL    51     64       14     129            619       19       9     41        0


EASTBOUND Approach                                   WESTBOUND Approach                           TOTAL     XING W/L        XING E/L

Hours       Lt     Th    Rt      Total               Hours   Lt     Th     Rt      Total           E-W       Ped    Sch     Ped   Sch
7-8         14      14   10          38              7-8     37      19    54        110             148      5      0      23     8
8-9         22      22   15          59              8-9     41      48    57        146             205      7      1       7     6
9-10        14      13     4         31              9-10      7     47    28          82            113      4      0       3     0
3-4           9     17     8         34              3-4     26      48    30        104             138      1      0      10    12
4-5         16      29   10          55              4-5     18      32    26          76            131      3      0       1    27
5-6         11      17     7         35              5-6     33      42    28        103             138      0      0      11    23

TOTAL       86     112    54        252              TOTAL   162    236    223       621            873       20       1     55    76

