                         City Of Los Angeles
                         Department Of Transportation
                         MANUAL TRAFFIC COUNT SUMMARY
STREET:
North/South              Eagle Rock Blvd

East/West                Corliss St

Day:                     Thursday               Date:               06/07/2018                   Weather:             SUNNY

Hours:                                                                       Chekrs:             NDS

School Day:                           Yes                                                          I/S CODE


                            N/B                               S/B                                   E/B                           W/B
DUAL-
WHEELED                       83                               99                                       3                           0
BIKES                         27                               33                                       2                           0
BUSES                         28                               30                                       0                           0


                            N/B       TIME                    S/B    TIME                           E/B     TIME                  W/B    TIME

AM PK 15 MIN                 276       7.45                   326     7.45                              8    7.45                   0     0.00

PM PK 15 MIN                 282      17.00                   288    17.00                              9   16.45                   0     0.00

AM PK HOUR                   866       7.30                  1198     7.30                             22    7.15                   0     0.00

PM PK HOUR                  1043      17.00                   994    16.45                             36   16.45                   0     0.00




NORTHBOUND Approach                                                 SOUTHBOUND Approach                                                 TOTAL    XING S/L       XING N/L

Hours          Lt          Th         Rt        Total               Hours              Lt          Th       Rt        Total              N-S      Ped   Sch      Ped   Sch
7-8                 21      723             0       744             7-8                      4     1018          11     1033             1777       0     0        0     0
8-9                 15      668             0       683             8-9                      3      998          13     1014             1697       0     0        0     0
9-10                22      559             0       581             9-10                     0      713           6       719            1300       0     0        0     0
11-12               21      729             0       750             11-12                    2      800           7       809            1559       0     0        0     0
14-15               17      801             0       818             14-15                    0      878           2       880            1698       0     0        0     0
15-16               28      791             0       819             15-16                    2      878           7       887            1706       0     0        0     0
16-17               28      884             0       912             16-17                    7      895           8       910            1822       0     0        1     0
17-18               28     1015             0     1043              17-18                    6      961           9       976            2019       0     0        1     0

TOTAL          180          6170            0     6350              TOTAL                   24     7141          63     7228            13578       0       0      2       0


EASTBOUND Approach                                                  WESTBOUND Approach                                                  TOTAL    XING W/L       XING E/L

Hours          Lt          Th         Rt        Total               Hours              Lt          Th       Rt        Total              E-W      Ped   Sch      Ped   Sch
7-8                  5          0          15           20          7-8                      0          0         0           0             20     13     1        0     0
8-9                  4          0          15           19          8-9                      0          0         0           0             19     10     4        0     0
9-10                 7          0          11           18          9-10                     0          0         0           0             18     12     0        0     0
11-12                7          0          15           22          11-12                    0          0         0           0             22      8     2        0     0
14-15                5          0          16           21          14-15                    0          0         0           0             21     15     4        0     0
15-16                5          0           7           12          15-16                    0          0         0           0             12     12     2        0     0
16-17                5          0          16           21          16-17                    0          0         0           0             21     12     3        0     0
17-18               14          0          18           32          17-18                    0          0         0           0             32     14     5        0     0

TOTAL               52          0      113          165             TOTAL                    0          0         0           0           165      96   21         0       0

