                                TRAFFIC COUNT SUMMARY
                                                                                                           City of Los Angeles
STREET:                                                                                    Department of Transportation
North/South       N. MAIN ST                                                                                   (Rev Apr 92)

East/West         VIGNES AVE/ALPINE ST

Day:    MO                       Date:       SEP 21,1992            Weather:       CLEAR

Hours: 7-10 AM 3-6 PM

School Day:       YES            District:           CENTRAL


                   N/B                         S/B                    E/B                  W/B
DUAL-
WHEELED            236                        239                     42                   235

BUSES               69                         29                      0                    0


                   N/B TIME                    S/B TIME               E/B TIME             W/B     TIME

AM PK 15 MIN       115   8.15                 284    8.30             86    8.15           135     9.30

PM PK 15 MIN       176   5.15                 159    3.30             95    5.45           224     4.30

AM PK HOUR         431   8.00                1059    7.45            279    7.45           445     9.00

PM PK HOUR         619   4.45                 526    3.15            322    5.00           817     4.00




NORTHBOUND Approach                                  SOUTHBOUND Approach                         TOTAL     XING S/L        XING N/L

Hours       Lt     Th    Rt      Total               Hours    Lt     Th     Rt     Total          N-S       Ped    Sch     Ped   Sch
7-8           2    177   139       318               7-8     153     401    284      838          1156      20      0       7     0
8-9           6    184   241       431               8-9     189     493    340     1022          1453      20      0       2     0
9-10          3    189   136       328               9-10    121     303    127      551           879      12      0       1     0
3-4           7    330    59       396               3-4     133     300     83      516           912       7      0       6     0
4-5           7    409    73       489               4-5      69     200     99      368           857      22      1       5     1
5-6           6    565    47       618               5-6      54     188    118      360           978      10      0       1     0

TOTAL        31 1854     695      2580               TOTAL   719 1885 1051          3655          6235       91       1     22        1


EASTBOUND Approach                                   WESTBOUND Approach                          TOTAL     XING W/L        XING E/L

Hours        Lt    Th    Rt      Total               Hours     Lt    Th     Rt     Total          E-W       Ped    Sch     Ped   Sch
7-8          20    166     2       188               7-8       20    216     64      300            488      0      0      16     0
8-9          43    231     4       278               8-9       15    239     63      317            595      3      0      31     0
9-10         32    143     8       183               9-10      38    328     79      445            628      0      0      24     0
3-4          63    127     6       196               3-4       35    400    134      569            765      6      0      18     1
4-5          66    106     9       181               4-5       95    564    158      817            998      3      0      34     5
5-6         135    180     7       322               5-6       30    365     75      470            792      1      0      13     0

TOTAL       359    953    36      1348               TOTAL   233 2112       573     2918          4266       13       0    136        6

