                                TRAFFIC COUNT SUMMARY
                                                                                                            City of Los Angeles
STREET:                                                                                     Department of Transportation
North/South       HUDSON AVE                                                                                    (Rev Apr 92)

East/West         WILSHIRE BL

Day:    TH                       Date:       SEP 3,1992            Weather:       CLEAR

Hours: 7-10 AM 3-6 PM

School Day:       YES            District:           HW


                   N/B                         S/B                   E/B                   W/B
DUAL-
WHEELED              3                          4                    90                    139

BUSES                0                          0                   124                    136


                   N/B TIME                    S/B TIME              E/B TIME              W/B      TIME

AM PK 15 MIN        17   7.30                  11    8.30           276    7.45            367      7.45

PM PK 15 MIN        78   4.00                  16    4.00           389    5.15            368      5.15

AM PK HOUR          45   7.15                  32    7.45          1044    7.30            1300     7.30

PM PK HOUR         150   3.45                  50    5.00          1421    5.00            1359     5.00




NORTHBOUND Approach                                  SOUTHBOUND Approach                          TOTAL     XING S/L        XING N/L

Hours       Lt     Th    Rt      Total               Hours   Lt     Th     Rt     Total            N-S       Ped    Sch     Ped   Sch
7-8           3      2    36         41              7-8       5      6    13         24             65      57      7       5     5
8-9           2      1    22         25              8-9       3      2    22         27             52      63      1       9     0
9-10          3      4    23         30              9-10      4      0    14         18             48      97      1       2     0
3-4           8      2    40         50              3-4     11       2    31         44             94      32     29       8    13
4-5           5      8   135       148               4-5       7      0    25         32            180      44      4      13     0
5-6           0      0    30         30              5-6     10       2    38         50             80      14      3       5     2

TOTAL       21      17   286        324              TOTAL   40      12    143      195              519    307     45       42    20


EASTBOUND Approach                                   WESTBOUND Approach                           TOTAL     XING W/L        XING E/L

Hours       Lt  Th       Rt      Total               Hours    Lt    Th     Rt     Total            E-W       Ped    Sch     Ped   Sch
7-8         17 723       34        774               7-8     141   1028    16      1185            1959       6      0       0     0
8-9         39 937         9       985               8-9      18   1092    34      1144            2129      10      0       0     0
9-10        46 838       15        899               9-10     15    830    26       871            1770      11      0       0     0
3-4         20 1178      13       1211               3-4      12   1232    13      1257            2468       5      0       0     0
4-5         25 1170        8      1203               4-5      15   1092    17      1124            2327      15      0       0     0
5-6         17 1400        4      1421               5-6      11   1330    18      1359            2780       0      0       0     0

TOTAL       164 6246      83      6493               TOTAL   212 6604      124     6940            13433      47       0      0        0

