                         City Of Los Angeles
                         Department Of Transportation
                         MANUAL TRAFFIC COUNT SUMMARY
STREET:
North/South              Eagle Rock Blvd

East/West                Fair Park Ave

Day:                     Thursday             Date:               06/07/2018                   Weather:             SUNNY

Hours:                                                                     Chekrs:             NDS

School Day:                         Yes                                                          I/S CODE


                            N/B                             S/B                                   E/B                          W/B
DUAL-
WHEELED                       78                             93                                      16                          8
BIKES                         29                             26                                      11                          5
BUSES                         42                             39                                       1                          0


                            N/B     TIME                    S/B    TIME                           E/B     TIME                 W/B    TIME

AM PK 15 MIN                343      7.45                   227     7.45                             16    8.15                 91     8.00

PM PK 15 MIN                246     17.30                   276    17.00                             28   14.30                 20    16.00

AM PK HOUR                  997      7.30                   870     7.45                             54    9.00                241     7.30

PM PK HOUR                  939     17.00                  1079    16.45                             96   16.15                 57    16.45




NORTHBOUND Approach                                               SOUTHBOUND Approach                                                TOTAL    XING S/L       XING N/L

Hours          Lt          Th       Rt        Total               Hours              Lt          Th       Rt        Total             N-S      Ped   Sch      Ped   Sch
7-8                 38      650          66       754             7-8                     38      616          16       670           1424       2     0        0     0
8-9                 35      700          61       796             8-9                     33      768          17       818           1614       2     0        0     0
9-10                29      639          15       683             9-10                    18      558           8       584           1267       1     4        3     1
11-12               47      741          28       816             11-12                   33      691          28       752           1568       2     0        0     0
14-15               66      796          16       878             14-15                   36      792          22       850           1728       2     0        2     1
15-16               38      761          23       822             15-16                   41      832          31       904           1726       3     0        1     0
16-17               38      743          22       803             16-17                   23      917          32       972           1775       1     0        3     0
17-18               43      858          38       939             17-18                   39      970          32     1041            1980       3     0        0     0

TOTAL          334         5888      269        6491              TOTAL              261         6144       186       6591           13082      16       4      9       2


EASTBOUND Approach                                                WESTBOUND Approach                                                 TOTAL    XING W/L       XING E/L

Hours          Lt          Th       Rt        Total               Hours              Lt          Th       Rt        Total             E-W      Ped   Sch      Ped   Sch
7-8                  7          2        37           46          7-8                     58          3      93         154             200     31     1       20     6
8-9                 17          2        33           52          8-9                     64          3     105         172             224     46     4       39     4
9-10                18          0        36           54          9-10                    15          2      33           50            104     50     4       22    13
11-12               17          1        41           59          11-12                   21          2      45           68            127     40     0       22     1
14-15                8          2        67           77          14-15                   14          2      29           45            122     48    59       15     2
15-16               20          4        61           85          15-16                    9          2      32           43            128     30    26        9     2
16-17               14          2        75           91          16-17                   16          2      36           54            145     35    26       10     1
17-18               13          2        55           70          17-18                   16          3      33           52            122     28    17       15     2

TOTAL          114            15     405          534             TOTAL              213             19     406         638           1172     308   137      152   31

