                                  TRAFFIC COUNT SUMMARY
                                                                                                                 City of Los Angeles
STREET:                                                                                          Department of Transportation
North/South       ECHO ST                                                                                            (Rev Apr 92)

East/West         AVE 60

Day:    WE                         Date:       SEP 16,1992             Weather:        CLEAR

Hours: 7-10 AM 3-6 PM

School Day:       YES              District:           CENTRAL


                   N/B                           S/B                     E/B                     W/B
DUAL-
WHEELED              0                           14                      54                      46

BUSES                0                            0                       0                       0


                   N/B TIME                      S/B TIME                E/B TIME                W/B     TIME

AM PK 15 MIN         4     8.00                  10    7.00             153    7.45              160     7.45

PM PK 15 MIN         6     5.00                   8    3.30             110    5.00              144     5.00

AM PK HOUR          10     7.15                  21    7.00             455    7.15              506     7.30

PM PK HOUR          13     4.30                  25    3.00             403    4.45              482     5.00




NORTHBOUND Approach                                    SOUTHBOUND Approach                             TOTAL     XING S/L        XING N/L

Hours       Lt     Th      Rt      Total               Hours     Lt     Th     Rt      Total            N-S       Ped    Sch     Ped   Sch
7-8           1      1       4          6              7-8         7      0    14          21             27      16     13       7    10
8-9           1      0       5          6              8-9         3      0      5           8            14      14      0      16     3
9-10          2      2       1          5              9-10        4      0      9         13             18       7      0      12     0
3-4           2      1       4          7              3-4       11       2    12          25             32      21     26      13     7
4-5           1      1       6          8              4-5         1      1      9         11             19      10      1       4     5
5-6           8      2       2         12              5-6         7      1      6         14             26      19      1       9     0

TOTAL       15       7      22         44              TOTAL     33       4       55       92            136       87    41       61    25


EASTBOUND Approach                                     WESTBOUND Approach                              TOTAL     XING W/L        XING E/L

Hours       Lt     Th      Rt      Total               Hours     Lt     Th     Rt      Total            E-W       Ped    Sch     Ped   Sch
7-8           1    395       3       399               7-8         7    424      4       435              834      0      0       2     0
8-9           0    355       1       356               8-9         3    393      6       402              758      2      1       1     0
9-10          1    225       4       230               9-10        4    302      5       311              541      2      0       1     0
3-4           7    316       8       331               3-4       12     419      7       438              769      0      0       3     9
4-5           7    298       7       312               4-5       13     407      5       425              737      4      0       0     0
5-6           2    388       6       396               5-6       11     466      5       482              878      4      0       2     0

TOTAL       18 1977         29      2024               TOTAL     50 2411          32    2493            4517       12       1      9        9

