                                  TRAFFIC COUNT SUMMARY
                                                                                                                City of Los Angeles
STREET:                                                                                         Department of Transportation
North/South       AVE 50                                                                                            (Rev Apr 92)

East/West         STRATFORD RD

Day:    FR                         Date:       AUGUST 28,1992         Weather:        CLEAR

Hours: 7-10 AM 3-6 PM

School Day:       YES              District:          CENTRAL


                   N/B                          S/B                     E/B                     W/B
DUAL-
WHEELED              1                            0                      3                       1

BUSES                0                            0                      0                       0


                   N/B TIME                     S/B TIME                E/B TIME                W/B     TIME

AM PK 15 MIN        11     8.00                   7   7.45              25    7.45              16      8.00

PM PK 15 MIN        22     5.15                   6   3.30              34    3.30              15      4.30

AM PK HOUR          31     7.30                  22   7.15              76    7.30              55      7.15

PM PK HOUR          72     5.00                  17   3.15             114    4.30              49      3.45




NORTHBOUND Approach                                   SOUTHBOUND Approach                             TOTAL     XING S/L        XING N/L

Hours       Lt     Th      Rt      Total              Hours     Lt     Th     Rt      Total            N-S       Ped    Sch     Ped   Sch
7-8           9      6       3         18             7-8         0     17      2         19             37       5      2       2     0
8-9         13       8       5         26             8-9         0     11      3         14             40       1      0       3     0
9-10          8      5       4         17             9-10        0      8      1           9            26       3      0       0     0
3-4         17      22     11          50             3-4         2     11      3         16             66       2      1       0     1
4-5         18      15       5         38             4-5         1      6      1           8            46       1      0       1     0
5-6         22      31     19          72             5-6         1      3      6         10             82       4      2       2     0

TOTAL       87      87      47        221             TOTAL      4      56       16       76            297       16       5      8        1


EASTBOUND Approach                                    WESTBOUND Approach                              TOTAL     XING W/L        XING E/L

Hours       Lt     Th      Rt      Total              Hours     Lt     Th     Rt      Total            E-W       Ped    Sch     Ped   Sch
7-8           2     36     18          56             7-8         7     34      1         42              98      2      1       1     0
8-9           3     30     19          52             8-9         5     38      1         44              96      3      0       1     0
9-10          2     22     17          41             9-10        5     37      1         43              84      2      0       1     0
3-4           3     53     38          94             3-4         2     42      0         44             138      3      0       0     1
4-5           5     71     19          95             4-5         4     38      0         42             137      3      0       0     1
5-6           5     87     22        114              5-6         1     42      1         44             158      5      1       0     0

TOTAL       20     299     133        452             TOTAL     24     231       4      259             711       18       2      3        2

