                          City Of Los Angeles
                          Department Of Transportation
                          MANUAL TRAFFIC COUNT SUMMARY
STREET:
North/South               Vista St

East/West                 Melrose Ave

Day:                      Wednesday                 Date:          March 8, 2017                    Weather:              SUNNY

Hours:        10-1 & 3-6                                                        Chekrs:             NDS

School Day:               YES                       District:                                         I/S CODE


                                 N/B                             S/B                                   E/B                          W/B
DUAL-
WHEELED                              12                          21                                    198                           138
BIKES                                 2                           4                                     30                            34
BUSES                                 0                           0                                     17                            15


                                 N/B      TIME                   S/B    TIME                           E/B      TIME                W/B     TIME

PM PK 15 MIN                         21   15.00                  32     15.30                          349      17.15                308    15.00

PM PK HOUR                           74   15.00                  116    15.00                         1252      16.30               1122    15.00




NORTHBOUND Approach                                                    SOUTHBOUND Approach                                                 TOTAL    XING S/L       XING N/L

Hours           Lt            Th          Rt        Total              Hours              Lt          Th        Rt        Total             N-S      Ped   Sch      Ped   Sch
10-11                3                7        12           22         10-11                   10          12        51        73              95     63     0       62     0
11-12                4               13        27           44         11-12                   13          21        58        92            136      63     0       78     0
12-13                5               10        36           51         12-13                   18          18        80       116            167     144     3      112     3
15-16                8               24        42           74         15-16                   16          29        71       116            190     251     3      188     8
16-17                4               24        24           52         16-17                   21          21        51        93            145     244    16      217     7
17-18                7               15        32           54         17-18                   17          29        70       116            170     222     8      194     7

TOTAL                31              93    173          297            TOTAL                   95      130       381          606             903    987   30       851   25


EASTBOUND Approach                                                     WESTBOUND Approach                                                  TOTAL    XING W/L       XING E/L

Hours           Lt            Th          Rt        Total              Hours              Lt          Th        Rt        Total             E-W      Ped   Sch      Ped   Sch
10-11                22          845            5       872            10-11                   11     1112           18     1141             2013      3     0       13     0
11-12                12          916           16       944            11-12                   18      980           31     1029             1973      2     0        8     0
12-13                17         1002           29     1048             12-13                   26      994           51     1071             2119     15     0       29     0
15-16                30         1170           41     1241             15-16                   23     1063           36     1122             2363      8     0       20     1
16-17                 4         1163           41     1208             16-17                    7     1004           50     1061             2269     18     0       22     0
17-18                 8         1168           51     1227             17-18                   10     1034           38     1082             2309     19     1       20     0

TOTAL                93         6264       183         6540            TOTAL                   95     6187       224        6506            13046     65       1    112       1

