                                 TRAFFIC COUNT SUMMARY
                                                                                                             City of Los Angeles
STREET:                                                                                      Department of Transportation
North/South       GRIFFITH PARK DR                                                                               (Rev Apr 92)

East/West         ZOO DR

Day:    WE                        Date:       SEP 2,1992            Weather:        CLEAR

Hours: 7-10 AM 3-6 PM

School Day:       YES             District:           HW


                   N/B                          S/B                   E/B                    W/B
DUAL-
WHEELED              3                          14                    13                      2

BUSES                0                           0                     0                      0


                   N/B TIME                     S/B TIME              E/B TIME               W/B     TIME

AM PK 15 MIN        11   7.00                   19    8.30            24    7.45              6      9.30

PM PK 15 MIN        35   4.15                   34    3.30            67    5.15             25      3.15

AM PK HOUR          39   9.00                   63    8.15            80    7.30             20      8.45

PM PK HOUR         119   3.45                  118    3.30           226    5.00             91      3.00




NORTHBOUND Approach                                   SOUTHBOUND Approach                          TOTAL     XING S/L        XING N/L

Hours       Lt     Th      Rt     Total               Hours   Lt     Th     Rt      Total           N-S       Ped    Sch     Ped   Sch
7-8         10      20       4        34              7-8       4     23    17          44            78       0      0       3     0
8-9           8     12       9        29              8-9       5     25    28          58            87       0      0       2     0
9-10        17      13       9        39              9-10      9     29    18          56            95       1      0       0     0
3-4         26      41     26         93              3-4     33      40    39        112            205       0      0       0     0
4-5         44      41     25       110               4-5     15      40    47        102            212       2      0       0     0
5-6         36      23     20         79              5-6       8     30    69        107            186       0      0       1     0

TOTAL       141    150     93        384              TOTAL   74     187    218       479            863        3       0      6        0


EASTBOUND Approach                                    WESTBOUND Approach                           TOTAL     XING W/L        XING E/L

Hours        Lt    Th      Rt     Total               Hours   Lt     Th     Rt      Total           E-W       Ped    Sch     Ped   Sch
7-8          39      4     28         71              7-8       2      4      3          9             80      1      0       4     0
8-9          27      6     40         73              8-9       6      3      4         13             86      1      0       0     0
9-10         32     28     20         80              9-10      7      5      7         19             99      1      0       1     0
3-4          63     23     39       125               3-4     31      25    35          91            216      0      0       1     0
4-5         110      5     37       152               4-5     20      13    29          62            214      0      0       1     0
5-6         173      8     45       226               5-6     17       8    19          44            270      1      0       1     0

TOTAL       444     74   209         727              TOTAL   83      58       97     238            965        4       0      8        0

