                          City Of Los Angeles
                          Department Of Transportation
                          MANUAL TRAFFIC COUNT SUMMARY
STREET:
North/South               Crenshaw Blvd

East/West                 9th St

Day:                       Tuesday                  Date:              June 14, 2016                 Weather:             SUNNY

Hours:        7-10 & 3-6                                                         Chekrs:             NDS

School Day:               YES                       District:                                          I/S CODE


                                   N/B                           S/B                                    E/B                          W/B
DUAL-
WHEELED                            168                           124                                       0                          13
BIKES                               24                            23                                       0                           4
BUSES                              220                           213                                       0                           0


                                   N/B    TIME                   S/B     TIME                           E/B     TIME                 W/B    TIME

AM PK 15 MIN                       337     9.15                  309      8.45                             1     1.15                 12     8.45

PM PK 15 MIN                       350    19.00                  294     16.45                             2    16.45                 10    17.15

AM PK HOUR                         1267    8.30                 1210      8.45                             2     9.15                 31     8.30

PM PK HOUR                         1295   18.30                 1117     16.30                             3    16.45                 29    16.30




NORTHBOUND Approach                                                    SOUTHBOUND Approach                                                 TOTAL    XING S/L       XING N/L

Hours           Lt            Th          Rt        Total              Hours               Lt          Th       Rt        Total             N-S      Ped   Sch      Ped   Sch
12-1                  1             113         5       119            12-1                      2      132           0       134            253       0     0        0     0
1-2                   0              92         2         94           1-2                       1        80          0         81           175       0     0        0     0
2-3                   1              58         2         61           2-3                       1        59          0         60           121       0     0        0     0
3-4                   2              53         1         56           3-4                       2        58          0         60           116       0     0        0     0
4-5                   0              86         0         86           4-5                       0        60          0         60           146       0     0        0     0
5-6                   0             226         1       227            5-6                       0      186           0       186            413       0     0        0     0
6-7                   3             534         4       541            6-7                       3      639           0       642           1183       2     0        0     0
7-8                   4             939        12       955            7-8                       5     1003           3     1011            1966       3     0        0     0
8-9                  11            1219        18     1248             8-9                      14     1127          12     1153            2401       6     0        0     0
9-10                 21            1196        16     1233             9-10                      7     1132           6     1145            2378       7     0        0     0
10-11                22             890        19       931            10-11                    12      804          13       829           1760       5     1        0     0
11-12                12             819        22       853            11-12                     7      743          15       765           1618       1     0        1     0
12-13                22             844        29       895            12-13                    10      774           9       793           1688       3     0        0     0
13-14                11             883        18       912            13-14                     6      840           8       854           1766       1     0        0     0
14-15                28             926        28       982            14-15                     7      980          14     1001            1983       1     0        0     0
15-16                15            1072        33     1120             15-16                    12      978           9       999           2119       6     0        1     0
16-17                11            1080        24     1115             16-17                     8     1085           6     1099            2214       1     1        0     0
17-18                 9            1121        29     1159             17-18                    14     1062           5     1081            2240      10     2        0     0
18-19                 8            1216        33     1257             18-19                    10     1008           0     1018            2275       4     0        0     0
19-20                 1            1127        35     1163             19-20                    11      849           2       862           2025       1     0        0     0
20-21                 3             741         6       750            20-21                     6      608           0       614           1364       4     0        1     0
21-22                 0             566        14       580            21-22                    10      584           0       594           1174       1     0        0     0
22-23                 3             427         4       434            22-23                     4      454           0       458            892       2     0        0     0
23-24                 2             302         5       309            23-24                     1      311           0       312            621       0     0        2     0

TOTAL            190            16530      360       17080             TOTAL                153       15556       102      15811            32891     58       4      5       0


EASTBOUND Approach                                                     WESTBOUND Approach                                                  TOTAL    XING W/L       XING E/L
Hours   Lt       Th       Rt       Total        Hours   Lt        Th       Rt        Total        E-W    Ped   Sch   Ped   Sch
12-1         0        0        0            0   12-1         2         0         2            4      4     2     0     2     0
1-2          1        0        0            1   1-2          0         1         3            4      5     3     0     0     0
3-4          0        0        0            0   3-4          1         0         1            2      2     0     0     1     0
4-5          0        0        0            0   4-5          0         0         1            1      1     5     0     2     0
5-6          0        0        0            0   5-6          3         0         2            5      5     3     0     2     0
6-7          0        0        0            0   6-7          6         0         9           15     15     4     0     6     1
7-8          0        0        0            0   7-8          6         0        20           26     26    11     0     3     0
8-9          0        0        0            0   8-9          5         0        24           29     29    13     0     7     0
9-10         0        0        2            2   9-10         4         0        16           20     22    10     0     3     0
10-11        1        0        0            1   10-11        7         0         6           13     14    10     0     4     0
11-12        1        0        0            1   11-12        2         0        12           14     15     7     0     3     0
12-13        0        0        0            0   12-13        5         0        17           22     22     8     1     7     0
13-14        0        0        1            1   13-14        9         0        16           25     26     5     1     7     0
14-15        1        0        0            1   14-15        6         0        14           20     21    14     0     3     0
15-16        0        0        0            0   15-16        9         0        18           27     27    13     1     5     1
16-17        0        0        2            2   16-17        7         0        19           26     28    18     1    13     2
17-18        0        0        1            1   17-18        4         0        21           25     26     8     1     7     3
18-19        0        0        0            0   18-19        3         0        24           27     27     6     0    13     0
19-20        0        0        1            1   19-20        1         0        16           17     18    12     1    17     1
20-21        0        0        0            0   20-21        3         0        13           16     16    15     0     7     0
21-22        0        0        1            1   21-22        6         0         9           15     16    11     0     7     0
22-23        0        0        0            0   22-23        1         0        12           13     13    11     0     4     0
23-24        0        0        0            0   23-24        4         0         6           10     10     4     0     6     2

TOTAL        4        0        8           12   TOTAL        94        1    281          376       388   196    6    130   10

