                                  TRAFFIC COUNT SUMMARY
                                                                                                           City of Los Angeles
STREET:                                                                                    Department of Transportation
North/South       LUCAS AVE                                                                                    (Rev Apr 92)

East/West         6TH ST

Day:    MO                         Date:       SEP 21,1992          Weather:       CLEAR

Hours: 7-10 AM 3-6 PM

School Day:       YES              District:           HW


                   N/B                           S/B                  E/B                  W/B
DUAL-
WHEELED             32                           14                   91                   36

BUSES                0                            0                   73                   108


                   N/B TIME                      S/B TIME             E/B TIME             W/B     TIME

AM PK 15 MIN        37     9.15                 153    7.30          246    7.45           129     9.15

PM PK 15 MIN       153     5.30                  72    5.30          280    5.00           249     5.45

AM PK HOUR         128     8.45                 532    7.15          930    7.30           500     8.30

PM PK HOUR         572     5.00                 268    5.00         1034    4.30           937     5.00




NORTHBOUND Approach                                    SOUTHBOUND Approach                       TOTAL     XING S/L        XING N/L

Hours       Lt     Th      Rt      Total               Hours   Lt    Th     Rt     Total          N-S       Ped    Sch     Ped   Sch
7-8         10      57     21          88              7-8     54    369    102      525           613      22      0      39     0
8-9         15      74     24        113               8-9     32    366     87      485           598      19      0      13     0
9-10        18      61     45        124               9-10    47    296     71      414           538      27      0       8     0
3-4         34     198     56        288               3-4     27    152     40      219           507      51      1      33     4
4-5         28     317     83        428               4-5     16    150     68      234           662      38      1      32     2
5-6         34     448     90        572               5-6     24    181     63      268           840      48      1      54     0

TOTAL       139 1155       319      1613               TOTAL   200 1514     431     2145          3758     205        3    179        6


EASTBOUND Approach                                     WESTBOUND Approach                        TOTAL     XING W/L        XING E/L

Hours        Lt    Th      Rt      Total               Hours   Lt    Th     Rt     Total          E-W       Ped    Sch     Ped   Sch
7-8          67    709     34        810               7-8     45    339    17       401          1211      32      0      49     1
8-9          52    750     41        843               8-9     43    409      4      456          1299      16      0      21     0
9-10         41    569     48        658               9-10    54    391      7      452          1110      22      0       6     0
3-4         108    652     24        784               3-4     45    406    36       487          1271      26      9      17     0
4-5         169    703     32        904               4-5     40    628    57       725          1629      30      1      32     3
5-6         160    767     25        952               5-6     34    831    72       937          1889      40      2      11     0

TOTAL       597 4150       204      4951               TOTAL   261 3004     193     3458          8409     166     12      136        4

