                          City Of Los Angeles
                          Department Of Transportation
                          MANUAL TRAFFIC COUNT SUMMARY
STREET:
North/South               Martel Ave

East/West                 Hollywood Blvd

Day:                      Wednesday              Date:              June 17, 2015                 Weather:              SUNNY

Hours:        7:30 - 9:30 am & 2:00 - 6:00 pm                                 Chekrs:             NDS

School Day:               YES                    District:                                          I/S CODE


                                N/B                           S/B                                    E/B                             W/B
DUAL-
WHEELED                            1                           0                                         59                           44
BIKES                              0                           1                                          5                           19
BUSES                              0                           0                                         56                           70


                                N/B    TIME                   S/B     TIME                           E/B      TIME                   W/B     TIME

AM PK 15 MIN                       5    7.45                  22       9.00                          249       8.30                   391     7.45

PM PK 15 MIN                      16   15.30                  23      17.15                          384      17.45                   269    17.45

AM PK HOUR                        16    7.30                  77       8.15                          975       8.15                  1520     7.30

PM PK HOUR                        35   15.30                  74      17.00                         1433      17.00                  1039    17.00




NORTHBOUND Approach                                                 SOUTHBOUND Approach                                                     TOTAL    XING S/L       XING N/L

Hours           Lt           Th        Rt        Total              Hours               Lt          Th        Rt        Total                N-S      Ped   Sch      Ped   Sch
7-8                  2             0         7            9         7-8                      1           0         33           34              43     14     0       15     0
8-9                  0             0        12           12         8-9                      5           2         60           67              79     24     0       34     1
9-10                 0             1         4            5         9-10                     3           1         30           34              39     19     0        6     0
14-15                3             4        19           26         14-15                    8           4         40           52              78     27     0       24     0
15-16                3             8        22           33         15-16                    7           5         50           62              95     26     0       26     0
16-17                1             1        23           25         16-17                    2           1         43           46              71     35     0       34     0
17-18                1             6        16           23         17-18                    5           2         67           74              97     30     0       34     0

TOTAL                10           20    103          133            TOTAL                    31          15    323          369               502     175       0    173       1


EASTBOUND Approach                                                  WESTBOUND Approach                                                      TOTAL    XING W/L       XING E/L

Hours           Lt           Th        Rt        Total              Hours               Lt          Th        Rt        Total                E-W      Ped   Sch      Ped   Sch
7-8                16            300         6       322            7-8                       2      758           10       770               1092      1     0        0     0
8-9                65            851         3       919            8-9                       6     1391           20     1417                2336      2     0        0     0
9-10               21            445         7       473            9-10                      7      556            9       572               1045      0     0        0     0
14-15              79            906        16     1001             14-15                    11      796           22       829               1830      2     0        0     0
15-16             126           1001        14     1141             15-16                    10      839           29       878               2019      1     0        1     0
16-17             172           1076        13     1261             16-17                     3      959           34       996               2257      4     0        0     0
17-18             205           1213        15     1433             17-18                     7      998           34     1039                2472      1     0        1     0

TOTAL             684           5792        74      6550            TOTAL                    46     6297       158        6501               13051     11       0      2       0

