                          City Of Los Angeles
                          Department Of Transportation
                          MANUAL TRAFFIC COUNT SUMMARY
STREET:
North/South               Grand View St

East/West                 3rd St

Day:                       Tuesday                  Date:              June 14, 2016                 Weather:              SUNNY

Hours:        7-10 & 3-6                                                         Chekrs:             NDS

School Day:               YES                       District:                                          I/S CODE


                                   N/B                           S/B                                    E/B                             W/B
DUAL-
WHEELED                             11                           33                                     148                              190
BIKES                                6                            3                                      19                               32
BUSES                                0                            0                                     163                              162


                                   N/B   TIME                    S/B     TIME                           E/B      TIME                   W/B     TIME

AM PK 15 MIN                        14    7.15                   15       7.45                          295       8.45                   216     8.00

PM PK 15 MIN                        29   17.15                   21      19.30                          291      17.30                   300    18.00

AM PK HOUR                          45    7.15                   45       7.30                         1108       8.15                   786     7.30

PM PK HOUR                          85   17.15                   65      16.00                         1105      16.45                  1155    17.45




NORTHBOUND Approach                                                    SOUTHBOUND Approach                                                     TOTAL    XING S/L     XING N/L

Hours           Lt            Th          Rt        Total              Hours               Lt          Th        Rt        Total                N-S      Ped   Sch    Ped   Sch
12-1                  3              0          4            7         12-1                      3          1          2            6              13      5     0      3     0
1-2                   1              0          2            3         1-2                       0          0          3            3               6      0     0      1     0
2-3                   1              2          4            7         2-3                       2          0          2            4              11      3     0      2     0
3-4                   0              2          0            2         3-4                       0          0          2            2               4      0     0      0     0
4-5                   0              0          4            4         4-5                       2          0          2            4               8      2     0      2     0
5-6                   2              0         10           12         5-6                       6          1          7           14              26      7     0      1     0
6-7                   2              0         16           18         6-7                       5          3         17           25              43      9     0      7     0
7-8                  13              1         22           36         7-8                       4          2         30           36              72      8     1     12     0
8-9                   4              3         29           36         8-9                       4          5         22           31              67     10     2     10     1
9-10                  9              1         11           21         9-10                      7          2         32           41              62     25     1     20     0
10-11                 4              4         22           30         10-11                    14          1         28           43              73     16     0     21     0
11-12                 6              5         36           47         11-12                    10          1         32           43              90     22     0     11     0
12-13                17              4         28           49         12-13                     6          3         19           28              77     17     4     16     0
13-14                10              0         32           42         13-14                     8          2         32           42              84     17     1     14     0
14-15                11              2         21           34         14-15                    16          3         33           52              86     29     2     18     0
15-16                 8              5         19           32         15-16                     8          2         44           54              86     20     3     18     1
16-17                 7              6         40           53         16-17                    10          5         50           65            118      21     3      9     0
17-18                14              9         61           84         17-18                     6          0         30           36            120      27     0     21     0
18-19                21              6         20           47         18-19                     7          0         28           35              82     24     5     16     0
19-20                 8              3         24           35         19-20                     7          3         38           48              83     19     1     20     0
20-21                 7              2         18           27         20-21                     1          2         10           13              40     25     0     14     0
21-22                 7              3         24           34         21-22                     6          1         12           19              53     12     0      6     0
22-23                 8              4         16           28         22-23                     5          2         11           18              46     10     0      3     0
23-24                 5              0          9           14         23-24                     1          2          8           11              25      7     0     10     0

TOTAL            168                62     472          702            TOTAL                138             41    494          673              1375     335   23     255       2


EASTBOUND Approach                                                     WESTBOUND Approach                                                      TOTAL    XING W/L     XING E/L
Hours   Lt        Th      Rt        Total      Hours   Lt        Th      Rt        Total      E-W     Ped   Sch   Ped   Sch
12-1          6     124         6       136    12-1          3    165          3       171      307     1     0     3     0
1-2           2      97         2       101    1-2           2    122          2       126      227     0     0     1     0
2-3           2      87         4         93   2-3           2      99         2       103      196     0     0     0     0
3-4           1      62         4         67   3-4           2      56         4         62     129     0     0     0     0
4-5           4      69         3         76   4-5           2      88         8         98     174     0     0     2     0
5-6           8     158         1       167    5-6          12    162         19       193      360     0     0     2     0
6-7          30     379         8       417    6-7          14    458         52       524      941     0     0     3     0
7-8          37     714        14       765    7-8          37    620         46       703     1468     0     0     6     1
8-9          37     997        21     1055     8-9          33    692         36       761     1816     0     0     6     1
9-10         34     902        22       958    9-10         33    688         43       764     1722     0     0     3     0
10-11        26     687        19       732    10-11        25    696         58       779     1511     0     0     7     1
11-12        22     613        15       650    11-12        26    666         56       748     1398     0     0     7     0
12-13        23     720        31       774    12-13        27    657         49       733     1507     0     0    13     1
13-14        28     655        29       712    13-14        21    695         43       759     1471     0     0    19     0
14-15        29     711        28       768    14-15        28    774         33       835     1603     2     0    12     0
15-16        20     865        22       907    15-16        37    779         23       839     1746     0     0    10     0
16-17        23     996        23     1042     16-17        37    933         16       986     2028     2     0     6     0
17-18        23    1045        25     1093     17-18        28   1013         26     1067      2160     0     0     7     1
18-19        33     846        35       914    18-19        38   1077         29     1144      2058     2     0     5     1
19-20        18     668        17       703    19-20        19    805         23       847     1550     1     0     2     0
20-21         8     512        21       541    20-21        10    565         16       591     1132     0     0     3     0
21-22         8     469        18       495    21-22        17    536         15       568     1063     0     0     7     0
22-23        10     365        14       389    22-23         6    463         10       479      868     0     0     1     0
23-24        11     265        11       287    23-24        10    308          8       326      613     0     0     7     0

TOTAL    443      13006    393       13842     TOTAL    469      13117    620       14206     28048    8     0    132    6

