                               TRAFFIC COUNT SUMMARY
                                                                                                           City of Los Angeles
STREET:                                                                                    Department of Transportation
North/South        0                                                                                           (Rev Apr 92)

East/West          0

Day:          0                 Date:        0                  Weather:               0

Hours: 7-10 AM 3-6 PM

School Day:        0            District:            0


                  N/B                       S/B                   E/B                      W/B
DUAL-
WHEELED            0                         0                     0                        0

BUSES              0                         0                     0                        0


                  N/B TIME                  S/B TIME              E/B TIME                 W/B     TIME

AM PK 15 MIN       0    7.00                 0    7.00             0    7.00                0      7.00

PM PK 15 MIN       0    3.00                 0    3.00             0    3.00                0      3.00

AM PK HOUR         0    7.00                 0    7.00             0    7.00                0      7.00

PM PK HOUR         0    3.00                 0    3.00             0    3.00                0      3.00




NORTHBOUND Approach                               SOUTHBOUND Approach                            TOTAL      XING S/L       XING N/L

Hours       Lt    Th    Rt      Total             Hours   Lt     Th     Rt     Total              N-S       Ped    Sch     Ped   Sch
7-8           0     0     0             0         7-8       0      0      0            0                0    0      0       0     0
8-9           0     0     0             0         8-9       0      0      0            0                0    0      0       0     0
9-10          0     0     0             0         9-10      0      0      0            0                0    0      0       0     0
3-4           0     0     0             0         3-4       0      0      0            0                0    0      0       0     0
4-5           0     0     0             0         4-5       0      0      0            0                0    0      0       0     0
5-6           0     0     0             0         5-6       0      0      0            0                0    0      0       0     0

TOTAL         0    0      0             0         TOTAL    0       0       0           0                0     0        0     0        0


EASTBOUND Approach                                WESTBOUND Approach                             TOTAL      XING W/L       XING E/L

Hours       Lt    Th    Rt      Total             Hours   Lt     Th     Rt     Total              E-W       Ped    Sch     Ped   Sch
7-8           0     0     0             0         7-8       0      0      0            0                0    0      0       0     0
8-9           0     0     0             0         8-9       0      0      0            0                0    0      0       0     0
9-10          0     0     0             0         9-10      0      0      0            0                0    0      0       0     0
3-4           0     0     0             0         3-4       0      0      0            0                0    0      0       0     0
4-5           0     0     0             0         4-5       0      0      0            0                0    0      0       0     0
5-6           0     0     0             0         5-6       0      0      0            0                0    0      0       0     0

TOTAL         0    0      0             0         TOTAL    0       0       0           0                0     0        0     0        0

