                                 TRAFFIC COUNT SUMMARY
                                                                                                             City of Los Angeles
STREET:                                                                                      Department of Transportation
North/South       5TH AVE                                                                                        (Rev Apr 92)

East/West         76TH ST

Day:    FR                        Date:       SEP 4,1992            Weather:        CLEAR

Hours: 7-10 AM 3-6 PM

School Day:       YES             District:           SOUTHERN


                   N/B                          S/B                   E/B                    W/B
DUAL-
WHEELED              5                           1                     6                      6

BUSES                0                           0                     0                      0


                   N/B TIME                     S/B TIME              E/B TIME               W/B     TIME

AM PK 15 MIN        15   7.45                   12    8.15            17    8.00             37      7.30

PM PK 15 MIN        22   5.15                   23    5.15            38    5.00             30      3.00

AM PK HOUR          51   7.00                   25    8.15            54    7.30             108     7.30

PM PK HOUR          58   5.00                   59    4.30           142    4.15             103     4.30




NORTHBOUND Approach                                   SOUTHBOUND Approach                          TOTAL     XING S/L        XING N/L

Hours       Lt     Th    Rt       Total               Hours   Lt     Th     Rt      Total           N-S       Ped    Sch     Ped   Sch
7-8           2     41     8          51              7-8       0      4      0          4            55       0      0       3     3
8-9           2     31     3          36              8-9       3     21      0         24            60       0      1       0     0
9-10          2     15     3          20              9-10      1     11      0         12            32       0      0       0     0
3-4           2     38     8          48              3-4       5     25      6         36            84       0      0       0     3
4-5           4     22     6          32              4-5       3     37      5         45            77       0      0       0     2
5-6           3     46     9          58              5-6       1     45      9         55           113       0      0       0     0

TOTAL       15     193      37       245              TOTAL   13     143       20     176            421        0       1      3        8


EASTBOUND Approach                                    WESTBOUND Approach                           TOTAL     XING W/L        XING E/L

Hours       Lt     Th    Rt       Total               Hours   Lt     Th     Rt      Total           E-W       Ped    Sch     Ped   Sch
7-8           2     34     2          38              7-8       1     75      5         81            119      2      0       0     0
8-9           1     46     1          48              8-9       0     69      4         73            121      1      0       2     0
9-10          1     27     1          29              9-10      2     29      5         36             65      0      0       0     0
3-4           2     83     7          92              3-4     11      82      8       101             193      0      0       0     1
4-5           4    115     8        127               4-5       3     81      8         92            219      3      0       0     0
5-6           4    103     8        115               5-6       2     86      2         90            205      1      0       1     3

TOTAL       14     408      27       449              TOTAL   19     422       32     473            922        7       0      3        4

