                                TRAFFIC COUNT SUMMARY
                                                                                                           City of Los Angeles
STREET:                                                                                    Department of Transportation
North/South       CANOGA AVE                                                                                   (Rev Apr 92)

East/West         VICTORY BL

Day:    WE                       Date:       SEP 30,1992           Weather:       CLEAR

Hours: 7-10 AM 3-6 PM

School Day:       YES            District:           WEST VALLEY


                   N/B                         S/B                   E/B                  W/B
DUAL-
WHEELED            155                        224                    78                   146

BUSES               32                          0                    31                    24


                   N/B TIME                    S/B TIME              E/B TIME             W/B      TIME

AM PK 15 MIN       339   7.45                 330    7.45           526    7.45           357      8.00

PM PK 15 MIN       463   5.15                 349    3.45           420    5.00           433      4.45

AM PK HOUR 1210          7.15                1201    7.30          1929    7.30           1229     7.45

PM PK HOUR 1674          5.00                1264    4.30          1485    5.00           1687     4.30




NORTHBOUND Approach                                  SOUTHBOUND Approach                         TOTAL     XING S/L        XING N/L

Hours        Lt  Th      Rt      Total               Hours    Lt    Th     Rt     Total           N-S       Ped    Sch     Ped   Sch
7-8          67 926      125      1118               7-8     144    861     42     1047           2165      29      0      17     0
8-9          51 807      130       988               8-9     163    896     42     1101           2089      15      0       2     2
9-10         80 635       98       813               9-10     72    538     58      668           1481      19      0       3     0
3-4         134 1043     165      1342               3-4     152    845     81     1078           2420      18      0       9     0
4-5         118 1268     176      1562               4-5     136    882    140     1158           2720      20      0      12     0
5-6         104 1416     154      1674               5-6     136    912    127     1175           2849      20      0       4     2

TOTAL       554 6095     848      7497               TOTAL   803 4934      490     6227           13724    121        0     47        4


EASTBOUND Approach                                   WESTBOUND Approach                          TOTAL     XING W/L        XING E/L

Hours        Lt    Th    Rt      Total               Hours    Lt  Th       Rt     Total           E-W       Ped    Sch     Ped   Sch
7-8          88   1476   108      1672               7-8     198 633        85      916           2588      58      0      21     0
8-9          53   1622   112      1787               8-9     211 870       108     1189           2976      17      0       6     0
9-10         33    769    60       862               9-10    106 660        98      864           1726       9      0       2     0
3-4          90   1018   130      1238               3-4     196 1072      156     1424           2662      15      0       0     0
4-5          93   1037   113      1243               4-5     200 1254      128     1582           2825      12      0       7     0
5-6         108   1262   115      1485               5-6     238 1295      105     1638           3123      23      0       2     0

TOTAL       465 7184     638      8287               TOTAL 1149 5784       680     7613           15900    134        0     38        0

