                                   TRAFFIC COUNT SUMMARY
                                                                                                               City of Los Angeles
STREET:                                                                                        Department of Transportation
North/South          WILLIS AVE                                                                                    (Rev Apr 92)

East/West            HORTENSE ST

Day:    TH                          Date:       SEP 3, 1992           Weather:        CLEAR

Hours: 7-10 AM 3-6 PM

School Day:          YES            District:           EAST VALLEY


                      N/B                         S/B                   E/B                    W/B
DUAL-
WHEELED                 3                          6                     0                      1

BUSES                   0                          0                     0                      0


                      N/B TIME                    S/B TIME              E/B TIME               W/B     TIME

AM PK 15 MIN           19   8.30                  51    8.15             0    7.00             27      8.15

PM PK 15 MIN           52   4.30                  35    3.00             0    3.00             13      3.00

AM PK HOUR             71   8.15                 157    7.45             0    7.00             83      7.30

PM PK HOUR            192   4.15                 107    3.00             0    3.00             43      3.00



NORTHBOUND Approach                                     SOUTHBOUND Approach                          TOTAL     XING S/L       XING N/L

Hours       Lt        Th    Rt      Total               Hours   Lt     Th     Rt      Total           N-S       Ped    Sch     Ped   Sch
7-8              0     24     6         30              7-8       4     85      0         89           119       0      0       0     0
8-9              0     48    14         62              8-9       7    146      0       153            215       0      0       0     0
9-10             0     39    17         56              9-10     11     76      0         87           143       0      0       0     0
3-4              0    101    47       148               3-4       9     98      0       107            255       0      0       0     0
4-5              0    145    43       188               4-5       3     81      0         84           272       0      0       0     0
5-6              0    109    54       163               5-6       4     88      0         92           255       0      0       0     0

TOTAL            0    466   181        647              TOTAL    38    574        0     612           1259        0       0      0       0


EASTBOUND Approach                                      WESTBOUND Approach                           TOTAL     XING W/L       XING E/L

Hours       Lt        Th    Rt      Total               Hours   Lt     Th     Rt      Total           E-W       Ped    Sch     Ped   Sch
7-8              0      0     0             0           7-8      52      0      2         54            54       0      0       24    0
8-9              0      0     0             0           8-9      71      0      1         72            72       0      0       27    0
9-10             0      0     0             0           9-10     49      0      1         50            50       0      0       13    0
3-4              0      0     0             0           3-4      36      0      7         43            43       0      0       18    0
4-5              0      0     0             0           4-5      33      0      6         39            39       0      0       15    0
5-6              0      0     0             0           5-6      22      0      3         25            25       0      0       40    0

TOTAL            0      0     0             0           TOTAL   263      0       20     283            283        0       0    137       0

