                                     TRAFFIC COUNT SUMMARY
                                                                                                                  City of Los Angeles
STREET:                                                                                           Department of Transportation
North/South          ST. ANDREWS PL                                                                                   (Rev Apr 92)

East/West            1ST ST

Day:    FR                            Date:       OCT 2,1992             Weather:        CLEAR

Hours: 7-10 AM 3-6 PM

School Day:          YES              District:           HW


                      N/B                           S/B                    E/B                    W/B
DUAL-
WHEELED                 5                            5                      2                       6

BUSES                   0                            1                      0                      0


                      N/B TIME                      S/B TIME               E/B TIME               W/B     TIME

AM PK 15 MIN           26     8.15                  19    7.30             19    9.00              35     7.45

PM PK 15 MIN           22     4.15                  27    3.30             16    3.15             41      5.45

AM PK HOUR             75     7.45                  69    7.30             55    8.15             92      7.30

PM PK HOUR             74     4.15                  84    3.00             43    4.15             144     5.00



NORTHBOUND Approach                                       SOUTHBOUND Approach                           TOTAL     XING S/L       XING N/L

Hours       Lt        Th      Rt      Total               Hours   Lt      Th     Rt      Total           N-S       Ped    Sch     Ped   Sch
7-8              8     35       6         49              7-8      10      55      2         67           116        2     0        9    4
8-9              6     41      17         64              8-9        8     49      4         61           125        9     2       20    4
9-10             2     20       9         31              9-10     14      27      8         49            80        0     0        8    1
3-4              6     30      17         53              3-4      19      56      9         84           137       16    11       16   10
4-5              7     51      11         69              4-5      17      45      3         65           134       15     0       13    6
5-6              8     33      13         54              5-6      16      48     12         76           130       13     0       12    7

TOTAL       37        210      73        320              TOTAL   84      280       38     402            722       55    13       78   32


EASTBOUND Approach                                        WESTBOUND Approach                            TOTAL     XING W/L       XING E/L

Hours       Lt        Th      Rt      Total               Hours   Lt      Th     Rt      Total           E-W       Ped    Sch     Ped   Sch
7-8              3     28       4         35              7-8      14      58     13         85            120      2      2        8    0
8-9              3     36       9         48              8-9      17      34     15         66            114      2      0        9    1
9-10             3     26       6         35              9-10     11      13     11         35             70      0      0        3    0
3-4              4     25       9         38              3-4      13      62     26       101             139      8      2        2    2
4-5              3     31       6         40              4-5      15      65     14         94            134      2      0       13    0
5-6              7     27       8         42              5-6      28      83     33       144             186      1      0        6    0

TOTAL       23        173      42        238              TOTAL   98      315    112       525            763      15        4     41       3

